iter	Passed	Remaining
0	56	56286
1	56	28222
2	56	18864
3	56	14183
4	57	11384
5	57	9523
6	57	8183
7	57	7180
8	58	6396
9	58	5769
10	58	5257
11	58	4831
12	58	4469
13	59	4161
14	59	3893
15	59	3659
16	59	3452
17	59	3268
18	60	3103
19	60	2954
20	60	2819
21	60	2698
22	60	2587
23	61	2485
24	61	2391
25	61	2305
26	61	2227
27	62	2152
28	62	2082
29	62	2017
30	62	1957
31	62	1900
32	63	1846
33	63	1796
34	63	1749
35	63	1705
36	63	1663
37	64	1623
38	64	1584
39	64	1548
40	64	1514
41	64	1482
42	65	1451
43	65	1421
44	65	1392
45	65	1365
46	66	1338
47	66	1313
48	66	1288
49	66	1265
50	66	1242
51	66	1221
52	67	1200
53	67	1180
54	67	1161
55	67	1143
56	68	1126
57	68	1109
58	68	1092
59	68	1076
60	68	1061
61	69	1046
62	69	1031
63	69	1017
64	69	1004
65	70	991
66	70	978
67	70	966
68	70	953
69	70	941
70	71	929
71	71	918
72	71	907
73	71	896
74	71	885
75	72	875
76	72	865
77	72	855
78	72	846
79	72	836
80	72	827
81	73	819
82	73	809
83	73	800
84	73	792
85	73	784
86	73	776
87	74	768
88	74	761
89	74	753
90	74	746
91	74	739
92	75	732
93	75	725
94	75	719
95	75	712
96	75	706
97	76	699
98	76	693
99	76	687
100	76	681
101	76	676
102	77	670
103	77	664
104	77	659
105	77	654
106	77	648
107	77	643
108	78	638
109	78	633
110	78	628
111	78	623
112	78	618
113	79	614
114	79	609
115	79	605
116	79	600
117	79	595
118	79	591
119	80	587
120	80	583
121	80	578
122	80	574
123	80	570
124	80	566
125	81	563
126	81	558
127	81	555
128	81	551
129	81	548
130	82	544
131	82	540
132	82	537
133	82	533
134	82	530
135	82	527
136	83	523
137	83	520
138	83	517
139	83	514
140	83	511
141	84	507
142	84	504
143	84	501
144	84	498
145	84	496
146	85	493
147	85	490
148	85	487
149	85	484
150	85	482
151	85	479
152	86	476
153	86	474
154	86	471
155	86	468
156	86	466
157	86	463
158	87	460
159	87	458
160	87	455
161	87	453
162	87	450
163	87	448
164	88	446
165	88	443
166	88	441
167	88	439
168	88	437
169	89	435
170	89	433
171	89	431
172	89	428
173	89	426
174	90	425
175	90	423
176	90	421
177	90	419
178	91	417
179	91	415
180	91	413
181	91	411
182	91	409
183	91	407
184	92	405
185	92	403
186	92	402
187	92	400
188	92	398
189	93	396
190	93	394
191	93	392
192	93	391
193	93	389
194	93	387
195	94	386
196	94	384
197	94	382
198	94	381
199	94	379
200	95	378
201	95	376
202	95	374
203	95	373
204	95	371
205	96	370
206	96	368
207	96	367
208	96	365
209	96	364
210	97	362
211	97	361
212	97	359
213	97	358
214	97	357
215	98	356
216	98	354
217	98	353
218	98	351
219	98	350
220	99	349
221	99	347
222	99	346
223	99	344
224	99	343
225	99	342
226	100	340
227	100	339
228	100	338
229	100	337
230	100	335
231	101	334
232	101	333
233	101	331
234	101	330
235	101	329
236	101	328
237	102	326
238	102	325
239	102	324
240	102	323
241	102	322
242	103	321
243	103	319
244	103	318
245	103	317
246	103	316
247	103	315
248	104	314
249	104	313
250	104	312
251	104	311
252	105	310
253	105	309
254	105	308
255	105	307
256	105	306
257	106	305
258	106	304
259	106	302
260	106	302
261	106	301
262	107	300
263	107	299
264	107	298
265	107	297
266	107	296
267	108	295
268	108	294
269	108	293
270	108	292
271	108	291
272	108	290
273	109	289
274	109	288
275	109	287
276	109	286
277	109	285
278	110	284
279	110	283
280	110	282
281	110	281
282	110	280
283	111	280
284	111	279
285	111	278
286	111	277
287	111	276
288	112	275
289	112	274
290	112	273
291	112	273
292	112	272
293	112	271
294	113	270
295	113	269
296	113	268
297	113	267
298	113	267
299	114	266
300	114	265
301	114	264
302	114	263
303	114	262
304	115	262
305	115	261
306	115	260
307	115	259
308	115	258
309	115	258
310	116	257
311	116	256
312	116	255
313	116	254
314	116	254
315	117	253
316	117	252
317	117	251
318	117	250
319	117	250
320	117	249
321	118	248
322	118	247
323	118	247
324	118	246
325	118	245
326	118	244
327	119	244
328	119	243
329	119	242
330	119	241
331	119	241
332	120	240
333	120	239
334	120	239
335	120	238
336	120	237
337	121	237
338	121	236
339	121	235
340	121	234
341	121	234
342	121	233
343	122	232
344	122	232
345	122	231
346	122	230
347	122	230
348	123	229
349	123	228
350	123	228
351	123	227
352	123	226
353	123	226
354	124	225
355	124	224
356	124	224
357	124	223
358	124	223
359	125	222
360	125	221
361	125	221
362	125	220
363	125	219
364	126	219
365	126	218
366	126	217
367	126	217
368	126	216
369	126	216
370	127	215
371	127	214
372	127	214
373	127	213
374	127	213
375	128	212
376	128	211
377	128	211
378	128	210
379	128	210
380	128	209
381	129	208
382	129	208
383	129	207
384	129	207
385	129	206
386	129	205
387	130	205
388	130	204
389	130	204
390	130	203
391	131	203
392	131	202
393	131	202
394	131	201
395	131	201
396	132	200
397	132	199
398	132	199
399	132	198
400	132	198
401	132	197
402	133	197
403	133	196
404	133	196
405	133	195
406	133	194
407	133	194
408	134	193
409	134	193
410	134	192
411	134	192
412	134	191
413	135	191
414	135	190
415	135	190
416	135	189
417	136	189
418	136	189
419	136	188
420	137	188
421	137	188
422	137	187
423	137	187
424	138	186
425	138	186
426	140	187
427	140	187
428	140	187
429	140	186
430	141	186
431	141	186
432	141	185
433	142	185
434	142	185
435	142	184
436	143	184
437	143	184
438	143	183
439	144	184
440	144	183
441	145	183
442	145	183
443	145	182
444	146	182
445	146	182
446	147	182
447	151	186
448	151	186
449	152	186
450	152	186
451	153	185
452	154	185
453	154	185
454	154	185
455	154	184
456	155	184
457	155	184
458	156	184
459	156	184
460	157	183
461	157	183
462	157	182
463	158	182
464	158	182
465	158	182
466	159	181
467	159	181
468	159	180
469	159	180
470	159	179
471	160	179
472	160	178
473	160	178
474	160	177
475	160	177
476	161	176
477	161	176
478	161	175
479	161	175
480	162	174
481	162	174
482	162	174
483	162	173
484	163	173
485	163	173
486	163	172
487	164	172
488	164	171
489	164	171
490	164	170
491	165	170
492	165	169
493	165	169
494	165	168
495	166	168
496	166	168
497	167	168
498	167	167
499	167	167
500	167	167
501	167	166
502	168	166
503	168	165
504	168	165
505	168	164
506	169	164
507	169	164
508	169	163
509	169	163
510	169	162
511	170	162
512	170	161
513	170	161
514	170	160
515	170	160
516	171	159
517	171	159
518	171	158
519	171	158
520	171	158
521	172	157
522	172	157
523	172	156
524	172	156
525	172	155
526	173	155
527	173	154
528	173	154
529	173	153
530	173	153
531	174	153
532	174	152
533	174	152
534	174	151
535	174	151
536	175	150
537	175	150
538	175	150
539	175	149
540	175	149
541	176	148
542	176	148
543	176	147
544	176	147
545	176	146
546	176	146
547	177	146
548	177	145
549	177	145
550	177	144
551	177	144
552	178	143
553	178	143
554	178	143
555	178	142
556	178	142
557	178	141
558	179	141
559	179	140
560	179	140
561	179	140
562	179	139
563	180	139
564	180	138
565	180	138
566	180	137
567	180	137
568	181	137
569	181	136
570	181	136
571	181	135
572	181	135
573	181	135
574	182	134
575	182	134
576	182	133
577	182	133
578	183	133
579	183	132
580	183	132
581	183	131
582	183	131
583	183	131
584	184	130
585	184	130
586	184	129
587	184	129
588	185	129
589	185	128
590	185	128
591	185	127
592	185	127
593	186	127
594	186	126
595	186	126
596	186	125
597	186	125
598	186	125
599	187	124
600	187	124
601	187	123
602	187	123
603	187	123
604	188	122
605	188	122
606	188	122
607	188	121
608	188	121
609	189	120
610	189	120
611	189	120
612	189	119
613	189	119
614	190	119
615	190	118
616	190	118
617	190	117
618	190	117
619	191	117
620	191	116
621	191	116
622	191	116
623	191	115
624	192	115
625	192	114
626	192	114
627	192	114
628	192	113
629	193	113
630	193	113
631	193	112
632	193	112
633	193	111
634	194	111
635	194	111
636	194	110
637	194	110
638	194	110
639	195	109
640	195	109
641	195	108
642	195	108
643	195	108
644	196	107
645	196	107
646	196	107
647	196	106
648	196	106
649	197	106
650	197	105
651	197	105
652	197	105
653	197	104
654	198	104
655	198	104
656	198	103
657	198	103
658	199	103
659	199	102
660	199	102
661	199	101
662	199	101
663	199	101
664	200	100
665	200	100
666	200	100
667	200	99
668	200	99
669	201	99
670	201	98
671	201	98
672	201	97
673	201	97
674	202	97
675	202	96
676	202	96
677	202	96
678	202	95
679	203	95
680	203	95
681	203	94
682	203	94
683	203	94
684	204	93
685	204	93
686	204	93
687	204	92
688	204	92
689	204	92
690	205	91
691	205	91
692	205	91
693	205	90
694	205	90
695	206	90
696	206	89
697	206	89
698	206	88
699	206	88
700	207	88
701	207	87
702	207	87
703	207	87
704	207	86
705	207	86
706	208	86
707	208	85
708	208	85
709	208	85
710	208	84
711	209	84
712	209	84
713	209	83
714	209	83
715	209	83
716	210	82
717	210	82
718	210	82
719	210	81
720	210	81
721	211	81
722	211	80
723	211	80
724	211	80
725	211	79
726	211	79
727	212	79
728	212	78
729	212	78
730	212	78
731	212	77
732	213	77
733	213	77
734	213	77
735	213	76
736	214	76
737	214	76
738	214	75
739	214	75
740	214	75
741	214	74
742	215	74
743	215	74
744	215	73
745	215	73
746	215	73
747	216	72
748	216	72
749	216	72
750	216	71
751	216	71
752	217	71
753	217	70
754	217	70
755	217	70
756	217	69
757	218	69
758	218	69
759	218	68
760	218	68
761	218	68
762	218	68
763	219	67
764	219	67
765	219	67
766	219	66
767	219	66
768	220	66
769	220	65
770	220	65
771	220	65
772	221	64
773	221	64
774	221	64
775	221	63
776	221	63
777	222	63
778	222	63
779	222	62
780	222	62
781	222	62
782	222	61
783	223	61
784	223	61
785	223	60
786	223	60
787	223	60
788	224	59
789	224	59
790	224	59
791	224	59
792	224	58
793	225	58
794	225	58
795	225	57
796	225	57
797	225	57
798	226	56
799	226	56
800	226	56
801	226	55
802	226	55
803	227	55
804	227	55
805	227	54
806	227	54
807	227	54
808	228	53
809	228	53
810	228	53
811	228	52
812	228	52
813	229	52
814	229	52
815	229	51
816	229	51
817	229	51
818	229	50
819	230	50
820	230	50
821	230	49
822	230	49
823	230	49
824	231	49
825	231	48
826	231	48
827	231	48
828	231	47
829	232	47
830	232	47
831	232	46
832	232	46
833	233	46
834	233	46
835	233	45
836	233	45
837	233	45
838	233	44
839	234	44
840	234	44
841	234	44
842	234	43
843	234	43
844	235	43
845	235	42
846	235	42
847	235	42
848	235	41
849	236	41
850	236	41
851	236	41
852	236	40
853	236	40
854	237	40
855	237	39
856	237	39
857	237	39
858	237	39
859	237	38
860	238	38
861	238	38
862	238	37
863	238	37
864	238	37
865	239	37
866	239	36
867	239	36
868	239	36
869	239	35
870	240	35
871	240	35
872	240	34
873	240	34
874	240	34
875	241	34
876	241	33
877	241	33
878	241	33
879	241	32
880	242	32
881	242	32
882	242	32
883	242	31
884	242	31
885	243	31
886	243	30
887	243	30
888	243	30
889	243	30
890	244	29
891	244	29
892	244	29
893	244	29
894	244	28
895	245	28
896	245	28
897	245	27
898	245	27
899	245	27
900	245	27
901	246	26
902	246	26
903	246	26
904	246	25
905	247	25
906	247	25
907	247	25
908	247	24
909	247	24
910	248	24
911	248	23
912	248	23
913	248	23
914	248	23
915	248	22
916	249	22
917	249	22
918	249	21
919	249	21
920	249	21
921	250	21
922	250	20
923	250	20
924	250	20
925	250	20
926	251	19
927	251	19
928	251	19
929	251	18
930	251	18
931	252	18
932	252	18
933	252	17
934	252	17
935	252	17
936	253	17
937	253	16
938	253	16
939	253	16
940	253	15
941	254	15
942	254	15
943	254	15
944	254	14
945	254	14
946	254	14
947	255	13
948	255	13
949	255	13
950	255	13
951	255	12
952	256	12
953	256	12
954	256	12
955	256	11
956	256	11
957	257	11
958	257	10
959	257	10
960	257	10
961	257	10
962	257	9
963	258	9
964	258	9
965	258	9
966	258	8
967	258	8
968	259	8
969	259	8
970	259	7
971	259	7
972	259	7
973	260	6
974	260	6
975	260	6
976	260	6
977	260	5
978	260	5
979	261	5
980	261	5
981	261	4
982	261	4
983	261	4
984	262	3
985	262	3
986	262	3
987	262	3
988	262	2
989	263	2
990	263	2
991	263	2
992	263	1
993	263	1
994	263	1
995	264	1
996	264	0
997	264	0
998	264	0
999	264	0
