iter	Passed	Remaining
0	56	56259
1	56	28199
2	56	18839
3	56	14162
4	57	11356
5	57	9484
6	57	8148
7	57	7143
8	57	6363
9	57	5739
10	58	5229
11	58	4802
12	58	4440
13	58	4130
14	58	3863
15	59	3629
16	59	3422
17	59	3239
18	59	3076
19	59	2927
20	59	2794
21	60	2672
22	60	2562
23	60	2460
24	60	2366
25	60	2280
26	61	2202
27	61	2134
28	61	2070
29	62	2010
30	62	1955
31	63	1907
32	63	1855
33	63	1808
34	63	1763
35	64	1719
36	65	1714
37	66	1677
38	66	1639
39	66	1603
40	67	1568
41	67	1534
42	67	1503
43	67	1473
44	68	1445
45	68	1419
46	68	1393
47	69	1369
48	69	1346
49	69	1324
50	70	1302
51	70	1280
52	70	1262
53	70	1243
54	71	1225
55	72	1214
56	72	1202
57	73	1188
58	73	1172
59	73	1158
60	74	1145
61	74	1130
62	75	1115
63	75	1101
64	75	1087
65	75	1074
66	76	1063
67	76	1052
68	77	1039
69	77	1027
70	77	1015
71	77	1004
72	78	993
73	78	983
74	79	979
75	82	1001
76	82	991
77	83	981
78	83	973
79	84	969
80	85	965
81	85	955
82	85	944
83	85	934
84	85	925
85	86	915
86	86	906
87	86	897
88	86	888
89	87	879
90	87	871
91	87	863
92	87	855
93	87	847
94	88	842
95	88	835
96	88	827
97	89	820
98	89	813
99	89	806
100	89	800
101	90	795
102	91	794
103	91	790
104	92	786
105	93	784
106	93	779
107	93	773
108	93	767
109	94	761
110	94	755
111	94	748
112	94	743
113	94	737
114	95	731
115	95	725
116	95	719
117	95	714
118	95	709
119	96	704
120	96	699
121	96	694
122	96	689
123	96	684
124	97	679
125	97	674
126	97	669
127	97	664
128	97	660
129	97	655
130	98	651
131	98	647
132	98	642
133	98	638
134	99	634
135	99	630
136	99	626
137	99	621
138	99	617
139	99	613
140	100	610
141	100	606
142	100	602
143	100	598
144	100	594
145	101	591
146	101	587
147	101	583
148	101	580
149	101	576
150	101	573
151	102	569
152	102	566
153	102	562
154	102	559
155	102	556
156	103	553
157	103	550
158	103	546
159	103	543
160	103	540
161	103	537
162	104	534
163	104	531
164	104	528
165	104	525
166	104	522
167	104	519
168	105	516
169	105	514
170	105	511
171	105	509
172	105	506
173	106	503
174	106	501
175	106	498
176	106	495
177	106	493
178	107	490
179	107	488
180	107	485
181	107	483
182	107	481
183	107	478
184	108	476
185	108	474
186	108	471
187	108	469
188	108	467
189	109	465
190	109	463
191	109	461
192	109	459
193	110	457
194	110	455
195	110	452
196	110	450
197	110	448
198	111	446
199	111	444
200	111	442
201	111	440
202	111	438
203	111	436
204	112	434
205	112	432
206	112	431
207	112	429
208	112	427
209	113	425
210	113	423
211	113	421
212	113	419
213	113	418
214	113	416
215	114	414
216	114	412
217	114	410
218	114	409
219	114	407
220	115	405
221	115	403
222	115	402
223	115	400
224	115	399
225	116	397
226	116	395
227	116	394
228	116	392
229	116	390
230	116	389
231	117	387
232	117	386
233	117	384
234	117	383
235	117	381
236	118	380
237	118	378
238	118	377
239	118	375
240	118	374
241	118	372
242	119	371
243	119	369
244	119	368
245	119	366
246	119	365
247	120	364
248	120	362
249	120	361
250	120	359
251	120	358
252	120	357
253	121	355
254	121	354
255	121	353
256	121	351
257	121	350
258	122	349
259	122	347
260	122	346
261	122	345
262	122	344
263	123	343
264	123	341
265	123	340
266	123	339
267	123	338
268	124	337
269	124	336
270	124	335
271	124	333
272	124	332
273	125	331
274	125	330
275	125	329
276	125	327
277	125	326
278	125	325
279	126	324
280	126	323
281	126	322
282	126	321
283	126	320
284	127	318
285	127	317
286	127	316
287	127	315
288	127	314
289	128	313
290	128	312
291	128	311
292	128	310
293	128	309
294	128	308
295	129	307
296	129	306
297	129	305
298	129	304
299	129	303
300	130	302
301	130	301
302	130	300
303	130	299
304	130	298
305	131	297
306	131	296
307	132	297
308	132	296
309	132	295
310	132	294
311	132	293
312	133	292
313	133	291
314	133	290
315	133	289
316	133	288
317	134	287
318	134	286
319	134	285
320	134	284
321	134	283
322	134	282
323	135	281
324	135	281
325	135	280
326	135	279
327	135	278
328	136	277
329	136	276
330	136	275
331	136	274
332	136	273
333	136	273
334	137	272
335	137	271
336	137	270
337	137	269
338	137	268
339	138	268
340	138	267
341	138	266
342	138	265
343	138	264
344	138	263
345	139	263
346	139	262
347	139	261
348	139	260
349	140	260
350	140	259
351	140	258
352	140	257
353	140	256
354	140	256
355	141	255
356	141	254
357	141	253
358	141	253
359	141	252
360	142	251
361	142	250
362	142	249
363	142	249
364	142	248
365	142	247
366	143	246
367	143	246
368	143	245
369	143	244
370	143	244
371	144	243
372	144	242
373	144	241
374	144	241
375	144	240
376	145	239
377	145	239
378	145	238
379	145	237
380	145	236
381	146	236
382	146	235
383	146	234
384	146	234
385	146	233
386	146	232
387	147	232
388	147	231
389	147	230
390	147	230
391	147	229
392	148	228
393	148	228
394	148	227
395	148	226
396	148	226
397	149	225
398	149	224
399	149	224
400	149	223
401	149	222
402	149	222
403	150	221
404	150	220
405	150	220
406	150	219
407	150	218
408	151	218
409	151	217
410	151	216
411	151	216
412	151	215
413	151	215
414	152	214
415	152	213
416	152	213
417	152	212
418	152	211
419	152	211
420	153	210
421	153	210
422	153	209
423	153	208
424	153	208
425	154	207
426	154	206
427	154	206
428	154	205
429	154	205
430	155	204
431	155	204
432	155	203
433	155	203
434	155	202
435	156	201
436	156	201
437	156	200
438	156	200
439	157	199
440	157	199
441	157	198
442	157	198
443	157	197
444	157	196
445	158	196
446	158	196
447	158	195
448	158	194
449	159	194
450	159	193
451	159	193
452	159	192
453	159	192
454	160	191
455	160	191
456	160	190
457	160	190
458	160	189
459	161	189
460	161	188
461	161	188
462	161	187
463	161	186
464	162	186
465	162	185
466	162	185
467	162	184
468	162	184
469	162	183
470	163	183
471	163	182
472	163	182
473	163	181
474	163	181
